Source,Word,Count
P,הָאָ֗רֶץ,13
P,בּוֹ֙,4
P,חַיָּ֔ה,2
P,יֶ֥רֶק,1
P,עֵ֖שֶׂב,1
P,לְאׇכְלָ֑ה,3
P,וַיַּ֤רְא,3
P,אֱלֹהִים֙,9
P,אֲשֶׁ֣ר,117
P,עָשָׂ֔ה,4
P,וְהִנֵּה,1
P,ט֖וֹב,3
P,מְאֹ֑ד,4
P,הַשִּׁשִּֽׁי,1
P,וַיְכֻלּ֛וּ,1
P,הַשָּׁמַ֥יִם,1
P,וְהָאָ֖רֶץ,1
P,וְכׇל,82
P,צְבָאָֽם,1
P,וַיְכַ֤ל,2
P,הַשְּׁבִיעִ֔י,10
P,מְלַאכְתּ֖וֹ,2
P,עָשָׂ֑ה,1
P,וַיִּשְׁבֹּת֙,1
P,מִכׇּל,20
P,עָשָֽׂה,4
P,וַיְבָ֤רֶךְ,1
P,י֣וֹם,6
P,וַיְקַדֵּ֖שׁ,2
P,כִּ֣י,42
P,ב֤וֹ,1
P,שָׁבַת֙,1
P,מְלַאכְתּ֔וֹ,1
P,לַעֲשֽׂוֹת,2
P,אֵ֚לֶּה,14
P,תּוֹלְדֹ֣ת,1
P,נֹ֔חַ,5
P,נֹ֗חַ,2
P,אִ֥ישׁ,21
P,צַדִּ֛יק,1
P,תָּמִ֥ים,2
P,הָיָ֖ה,1
P,בְּדֹֽרֹתָ֑יו,1
P,הָֽאֱלֹהִ֖ים,1
P,הִֽתְהַלֶּךְ,1
P,נֹֽחַ,2
P,וַיּ֥וֹלֶד,1
P,נֹ֖חַ,3
P,שְׁלֹשָׁ֣ה,5
P,בָנִ֑ים,1
P,שֵׁ֖ם,5
P,חָ֥ם,1
P,יָֽפֶת,1
P,וַתִּשָּׁחֵ֥ת,1
P,לִפְנֵ֣י,63
P,הָֽאֱלֹהִ֑ים,2
P,וַתִּמָּלֵ֥א,2
P,חָמָֽס,1
P,וְהִנֵּ֣ה,4
P,נִשְׁחָ֑תָה,1
P,כִּֽי,77
P,הִשְׁחִ֧ית,1
P,בָּשָׂ֛ר,2
P,דַּרְכּ֖וֹ,1
P,אֱלֹהִ֜ים,2
P,לְנֹ֗חַ,1
P,קֵ֤ץ,1
P,בָּשָׂר֙,3
P,בָּ֣א,2
P,לְפָנַ֔י,1
P,מָלְאָ֥ה,1
P,הָאָ֛רֶץ,4
P,חָמָ֖ס,1
P,מִפְּנֵיהֶ֑ם,1
P,וְהִנְנִ֥י,1
P,מַשְׁחִיתָ֖ם,1
P,עֲשֵׂ֤ה,1
P,לְךָ֙,7
P,תֵּבַ֣ת,1
P,עֲצֵי,1
P,גֹ֔פֶר,1
P,קִנִּ֖ים,1
P,תַּֽעֲשֶׂ֣ה,2
P,הַתֵּבָ֑ה,3
P,וְכָֽפַרְתָּ֥,1
P,אֹתָ֛הּ,4
P,מִבַּ֥יִת,2
P,וּמִח֖וּץ,2
P,בַּכֹּֽפֶר,1
P,וְזֶ֕ה,2
P,תַּֽעֲשֶׂ֖ה,1
P,אֹתָ֑הּ,10
P,שְׁלֹ֧שׁ,1
P,מֵא֣וֹת,1
P,אַמָּ֗ה,2
P,אֹ֚רֶךְ,1
P,הַתֵּבָ֔ה,4
P,חֲמִשִּׁ֤ים,1
P,אַמָּה֙,3
P,רׇחְבָּ֔הּ,1
P,וּשְׁלֹשִׁ֥ים,3
P,אַמָּ֖ה,3
P,קוֹמָתָֽהּ,1
P,צֹ֣הַר,1
P,לַתֵּבָ֗ה,1
P,וְאֶל,36
P,תְּכַלֶּ֣נָּה,1
P,מִלְמַ֔עְלָה,1
P,וּפֶ֥תַח,1
P,הַתֵּבָ֖ה,3
P,בְּצִדָּ֣הּ,1
P,תָּשִׂ֑ים,1
P,תַּחְתִּיִּ֛ם,1
P,שְׁנִיִּ֥ם,1
P,וּשְׁלִשִׁ֖ים,2
P,תַּֽעֲשֶֽׂהָ,1
P,וַאֲנִ֗י,3
P,הִנְנִי֩,1
P,מֵבִ֨יא,3
P,הַמַּבּ֥וּל,1
P,מַ֨יִם֙,3
P,לְשַׁחֵ֣ת,1
P,בָּשָׂ֗ר,4
P,ר֣וּחַ,6
P,חַיִּ֔ים,1
P,מִתַּ֖חַת,2
P,כֹּ֥ל,2
P,בָּאָ֖רֶץ,3
P,יִגְוָֽע,1
P,וַהֲקִמֹתִ֥י,1
P,בְּרִיתִ֖י,6
P,אִתָּ֑ךְ,7
P,וּבָאתָ֙,1
P,אַתָּ֕ה,3
P,וּבָנֶ֛יךָ,1
P,וְאִשְׁתְּךָ֥,1
P,וּנְשֵֽׁי,3
P,בָנֶ֖יךָ,2
P,אִתָּֽךְ,3
P,וּמִכׇּל,1
P,הָ֠חַי,1
P,מִֽכׇּל,1
P,בָּשָׂ֞ר,2
P,שְׁנַ֧יִם,9
P,מִכֹּ֛ל,4
P,תָּבִ֥יא,1
P,לְהַחֲיֹ֣ת,1
P,יִֽהְיֽוּ,1
P,מֵהָע֣וֹף,1
P,לְמִינֵ֗הוּ,1
P,וּמִן,23
P,יָבֹ֥אוּ,1
P,אֵלֶ֖יךָ,3
P,לְהַֽחֲיֽוֹת,1
P,וְאַתָּ֣ה,3
P,קַח,5
P,לְךָ֗,5
P,מַֽאֲכָל֙,1
P,יֵֽאָכֵ֔ל,2
P,וְאָסַפְתָּ֖,2
P,אֵלֶ֑יךָ,1
P,וְהָיָ֥ה,13
P,לְךָ֛,3
P,וְלָהֶ֖ם,1
P,וַיַּ֖עַשׂ,6
P,נֹ֑חַ,4
