Book,Chapter,Verse,Depth
Genesis,18,15,6
Genesis,18,16,5
Genesis,18,17,5
Genesis,18,18,6
Genesis,18,19,9
Genesis,18,20,6
Genesis,18,21,5
Genesis,18,22,6
Genesis,18,23,8
Genesis,18,24,8
Genesis,18,25,8
Genesis,18,26,6
Genesis,18,27,7
Genesis,18,28,6
Genesis,18,29,6
Genesis,18,30,6
Genesis,18,31,6
Genesis,18,32,6
Genesis,18,33,7
Genesis,19,1,6
Genesis,19,2,6
Genesis,19,3,5
Genesis,19,4,7
Genesis,19,5,7
Genesis,19,6,4
Genesis,19,7,4
Genesis,19,8,11
Genesis,19,9,7
Genesis,19,10,5
Genesis,19,11,6
Genesis,19,12,6
Genesis,19,13,2
Genesis,19,14,10
Genesis,19,15,10
Genesis,19,16,1
Genesis,19,17,7
Genesis,19,18,4
Genesis,19,19,8
Genesis,19,20,6
Genesis,19,21,5
Genesis,19,22,5
Genesis,19,23,4
Genesis,19,24,7
Genesis,19,25,6
Genesis,19,26,4
Genesis,19,27,6
Genesis,19,28,6
Genesis,19,29,6
Genesis,19,30,8
Genesis,19,31,8
Genesis,19,32,5
Genesis,19,33,8
Genesis,19,34,8
Genesis,19,35,7
Genesis,19,36,5
Genesis,19,37,5
Genesis,19,38,8
Genesis,20,1,6
Genesis,20,2,6
Genesis,20,3,7
Genesis,20,4,5
Genesis,20,5,6
Genesis,20,6,7
Genesis,20,7,5
Genesis,20,8,6
Genesis,20,9,10
Genesis,20,10,6
Genesis,20,11,6
Genesis,20,12,4
Genesis,20,13,7
Genesis,20,14,7
Genesis,20,15,4
Genesis,20,16,5
Genesis,20,17,5
Genesis,20,18,6
Genesis,21,1,6
Genesis,21,2,6
Genesis,21,3,7
Genesis,21,4,6
Genesis,21,5,5
Genesis,21,6,6
Genesis,21,7,6
Genesis,21,8,5
Genesis,21,9,5
Genesis,21,10,6
Genesis,21,11,4
Genesis,21,12,7
Genesis,21,13,2
Genesis,21,14,8
Genesis,21,15,6
Genesis,21,16,7
Genesis,21,17,7
Genesis,21,18,6
Genesis,21,19,6
Genesis,21,20,5
Genesis,21,21,6
Genesis,21,22,5
Genesis,21,23,6
Genesis,21,24,3
Genesis,21,25,5
Genesis,21,26,7
Genesis,21,27,6
Genesis,21,28,5
Genesis,21,29,5
Genesis,21,30,5
Genesis,21,31,5
Genesis,21,32,7
Genesis,21,33,5
Genesis,21,34,4
Genesis,22,1,6
Genesis,22,2,8
Genesis,22,3,9
Genesis,22,4,6
Genesis,22,5,5
Genesis,22,6,7
Genesis,22,7,7
Genesis,22,8,5
Genesis,22,9,3
Genesis,22,10,6
Genesis,22,11,6
Genesis,22,12,7
Genesis,22,13,8
Genesis,22,14,7
Genesis,22,15,6
Genesis,22,16,6
Genesis,22,17,7
Genesis,22,18,4
Genesis,22,19,5
Genesis,22,20,7
Genesis,22,21,6
Genesis,22,22,5
Genesis,22,23,6
Genesis,22,24,3
Genesis,23,1,5
Genesis,23,2,6
Genesis,23,3,6
Genesis,23,4,5
Genesis,23,5,5
Genesis,23,6,9
Genesis,23,7,7
Genesis,23,8,9
Genesis,23,9,7
Genesis,23,10,6
Genesis,23,11,5
Genesis,23,12,4
Genesis,23,13,7
Genesis,23,14,4
Genesis,23,15,9
Genesis,23,16,8
Genesis,23,17,11
Genesis,23,18,6
Genesis,23,19,5
Genesis,23,20,10
Genesis,24,1,6
Genesis,24,2,8
Genesis,24,3,8
Genesis,24,4,6
Genesis,24,5,7
Genesis,24,6,5
Genesis,24,7,10
Genesis,24,8,5
Genesis,24,9,5
Genesis,24,10,6
Genesis,24,11,6
Genesis,24,12,8
Genesis,24,13,6
Genesis,24,14,8
Genesis,24,15,9
Genesis,24,16,5
Genesis,24,17,6
Genesis,24,18,6
Genesis,24,19,6
Genesis,24,20,6
Genesis,24,21,7
Genesis,24,22,3
Genesis,24,23,5
Genesis,24,24,6
Genesis,24,25,5
Genesis,24,26,4
Genesis,24,27,5
Genesis,24,28,5
Genesis,24,29,3
Genesis,24,30,7
Genesis,24,31,6
Genesis,24,32,10
Genesis,24,33,6
Genesis,24,34,4
Genesis,24,35,8
Genesis,24,36,6
Genesis,24,37,7
Genesis,24,38,5
Genesis,24,39,4
Genesis,24,40,6
Genesis,24,41,6
Genesis,24,42,7
Genesis,24,43,8
Genesis,24,44,7
Genesis,24,45,6
Genesis,24,46,7
Genesis,24,47,8
Genesis,24,48,8
Genesis,24,49,8
Genesis,24,50,7
Genesis,24,51,5
Genesis,24,52,5
Genesis,24,53,6
Genesis,24,54,3
Genesis,24,55,5
Genesis,24,56,5
Genesis,24,57,5
Genesis,24,58,7
Genesis,24,59,5
Genesis,24,60,7
Genesis,24,61,7
Genesis,24,62,5
Genesis,24,63,5
Genesis,24,64,6
Genesis,24,65,6
Genesis,24,66,5
Genesis,24,67,6
Genesis,25,1,3
Genesis,25,2,7
Genesis,25,3,6
Genesis,25,4,5
Genesis,25,5,5
Genesis,25,6,6
Genesis,25,7,8
Genesis,25,8,6
Genesis,25,9,6
Genesis,25,10,6
Genesis,25,11,6
Genesis,25,12,6
Genesis,25,13,6
Genesis,25,14,4
Genesis,25,15,5
Genesis,25,16,7
Genesis,25,17,8
Genesis,25,18,6
Genesis,25,19,6
Genesis,25,20,7
Genesis,25,21,8
Genesis,25,22,8
Genesis,25,23,6
Genesis,25,24,6
Genesis,25,25,4
Genesis,25,26,11
Genesis,25,27,8
Genesis,25,28,5
Genesis,25,29,5
Genesis,25,30,5
Genesis,25,31,4
Genesis,25,32,6
Genesis,25,33,6
Genesis,25,34,7
Genesis,26,1,6
Genesis,26,2,6
Genesis,26,3,7
Genesis,26,4,5
Genesis,26,5,8
Genesis,26,6,3
Genesis,26,7,4
Genesis,26,8,6
Genesis,26,9,6
Genesis,26,10,5
Genesis,26,11,7
Genesis,26,12,5
Genesis,26,13,7
Genesis,26,14,7
Genesis,26,15,3
Genesis,26,16,5
Genesis,26,17,4
Genesis,26,18,9
Genesis,26,19,6
Genesis,26,20,6
Genesis,26,21,7
Genesis,26,22,9
Genesis,26,23,4
Genesis,26,24,6
Genesis,26,25,5
Genesis,26,26,5
Genesis,26,27,6
Genesis,26,28,10
Genesis,26,29,6
Genesis,26,30,4
Genesis,26,31,5
Genesis,26,32,9
Genesis,26,33,6
Genesis,26,34,8
Genesis,26,35,4
Genesis,27,1,6
Genesis,27,2,5
Genesis,27,3,4
Genesis,27,4,7
Genesis,27,5,6
Genesis,27,6,6
Genesis,27,7,5
Genesis,27,8,4
Genesis,27,9,6
Genesis,27,10,5
Genesis,27,11,5
Genesis,27,12,6
Genesis,27,13,5
Genesis,27,14,4
Genesis,27,15,7
Genesis,27,16,6
Genesis,27,17,7
Genesis,27,18,6
Genesis,27,19,5
Genesis,27,20,6
Genesis,27,21,6
Genesis,27,22,8
Genesis,27,23,5
Genesis,27,24,4
Genesis,27,25,4
Genesis,27,26,6
Genesis,27,27,7
Genesis,27,28,5
Genesis,27,29,6
Genesis,27,30,7
Genesis,27,31,7
Genesis,27,32,4
Genesis,27,33,8
Genesis,27,34,7
Genesis,27,35,4
Genesis,27,36,6
Genesis,27,37,6
Genesis,27,38,5
Genesis,27,39,7
Genesis,27,40,5
Genesis,27,41,8
Genesis,27,42,9
Genesis,27,43,6
Genesis,27,44,4
Genesis,27,45,5
Genesis,27,46,7
Genesis,28,1,7
Genesis,28,2,5
Genesis,28,3,6
Genesis,28,4,5
Genesis,28,5,8
Genesis,28,6,9
Genesis,28,7,5
Genesis,28,8,6
Genesis,28,9,9
Genesis,28,10,4
Genesis,28,11,11
Genesis,28,12,5
Genesis,28,13,7
Genesis,28,14,6
Genesis,28,15,7
Genesis,28,16,6
Genesis,28,17,6
Genesis,28,18,8
Genesis,28,19,6
Genesis,28,20,9
Genesis,28,21,5
Genesis,28,22,5
Genesis,29,1,5
Genesis,29,2,6
Genesis,29,3,8
Genesis,29,4,4
Genesis,29,5,6
Genesis,29,6,5
Genesis,29,7,5
Genesis,29,8,7
Genesis,29,9,5
Genesis,29,10,9
Genesis,29,11,5
Genesis,29,12,6
Genesis,29,13,9
Genesis,29,14,4
Genesis,29,15,5
Genesis,29,16,5
Genesis,29,17,4
Genesis,29,18,6
Genesis,29,19,3
Genesis,29,20,6
Genesis,29,21,6
Genesis,29,22,4
Genesis,29,23,5
Genesis,29,24,4
Genesis,29,25,7
Genesis,29,26,5
Genesis,29,27,8
Genesis,29,28,6
Genesis,29,29,5
Genesis,29,30,6
Genesis,29,31,6
Genesis,29,32,6
Genesis,29,33,7
Genesis,29,34,6
Genesis,29,35,5
Genesis,30,1,6
Genesis,30,2,6
Genesis,30,3,5
Genesis,30,4,6
Genesis,30,5,5
Genesis,30,6,6
Genesis,30,7,6
Genesis,30,8,6
Genesis,30,9,6
Genesis,30,10,5
Genesis,30,11,5
Genesis,30,12,5
Genesis,30,13,5
Genesis,30,14,8
Genesis,30,15,7
Genesis,30,16,6
Genesis,30,17,5
Genesis,30,18,7
Genesis,30,19,6
Genesis,30,20,6
Genesis,30,21,5
Genesis,30,22,5
Genesis,30,23,5
Genesis,30,24,6
Genesis,30,25,8
Genesis,30,26,10
Genesis,30,27,4
Genesis,30,28,4
Genesis,30,29,6
Genesis,30,30,5
Genesis,30,31,6
Genesis,30,32,8
Genesis,30,33,6
Genesis,30,34,3
Genesis,30,35,5
Genesis,30,36,7
Genesis,30,37,7
Genesis,30,38,7
Genesis,30,39,6
Genesis,30,40,7
Genesis,30,41,6
Genesis,30,42,5
Genesis,30,43,5
Genesis,31,1,7
Genesis,31,2,5
Genesis,31,3,4
Genesis,31,4,5
Genesis,31,5,6
Genesis,31,6,5
Genesis,31,7,5
Genesis,31,8,8
Genesis,31,9,4
Genesis,31,10,6
Genesis,31,11,4
Genesis,31,12,8
Genesis,31,13,9
Genesis,31,14,7
Genesis,31,15,6
Genesis,31,16,6
Genesis,31,17,6
Genesis,31,18,9
Genesis,31,19,5
Genesis,31,20,5
Genesis,31,21,5
Genesis,31,22,4
Genesis,31,23,6
Genesis,31,24,7
Genesis,31,25,5
Genesis,31,26,6
Genesis,31,27,6
Genesis,31,28,4
Genesis,31,29,8
Genesis,31,30,5
Genesis,31,31,8
Genesis,31,32,6
Genesis,31,33,6
Genesis,31,34,6
Genesis,31,35,6
Genesis,31,36,9
Genesis,31,37,6
Genesis,31,38,6
Genesis,31,39,5
Genesis,31,40,6
Genesis,31,41,6
Genesis,31,42,6
Genesis,31,43,7
Genesis,31,44,5
Genesis,31,45,5
Genesis,31,46,7
Genesis,31,47,4
Genesis,31,48,5
Genesis,31,49,6
Genesis,31,50,7
Genesis,31,51,6
Genesis,31,52,7
Genesis,31,53,5
Genesis,31,54,7
Genesis,32,1,5
Genesis,32,2,5
Genesis,32,3,5
Genesis,32,4,5
Genesis,32,5,8
Genesis,32,6,8
Genesis,32,7,7
Genesis,32,8,8
Genesis,32,9,5
Genesis,32,10,6
Genesis,32,11,9
Genesis,32,12,7
Genesis,32,13,6
Genesis,32,14,6
Genesis,32,15,4
Genesis,32,16,7
Genesis,32,17,7
Genesis,32,18,7
Genesis,32,19,5
Genesis,32,20,6
Genesis,32,21,7
Genesis,32,22,6
Genesis,32,23,7
Genesis,32,24,6
Genesis,32,25,5
Genesis,32,26,7
Genesis,32,27,5
Genesis,32,28,4
Genesis,32,29,7
Genesis,32,30,6
Genesis,32,31,6
Genesis,32,32,7
Genesis,32,33,6
Genesis,33,1,9
Genesis,33,2,8
Genesis,33,3,5
Genesis,33,4,6
Genesis,33,5,8
Genesis,33,6,4
Genesis,33,7,5
Genesis,33,8,7
Genesis,33,9,6
Genesis,33,10,6
Genesis,33,11,7
Genesis,33,12,4
Genesis,33,13,6
Genesis,33,14,8
Genesis,33,15,6
Genesis,33,16,5
Genesis,33,17,6
Genesis,33,18,5
Genesis,33,19,7
