Book,Chapter,Verse,Total Words,Unique Words
Genesis,18,9,8,8
Genesis,18,10,16,16
Genesis,18,11,10,10
Genesis,18,12,11,11
Genesis,18,13,14,14
Genesis,18,14,10,10
Genesis,18,15,11,11
Genesis,18,16,11,11
Genesis,18,17,8,8
Genesis,18,18,11,11
Genesis,18,19,25,25
Genesis,18,20,11,11
Genesis,18,21,11,11
Genesis,18,22,10,10
Genesis,18,23,8,8
Genesis,18,24,16,15
Genesis,18,25,20,20
Genesis,18,26,13,13
Genesis,18,27,12,12
Genesis,18,28,18,18
Genesis,18,29,14,14
Genesis,18,30,17,16
Genesis,18,31,16,16
Genesis,18,32,17,17
Genesis,18,33,10,10
Genesis,19,1,16,16
Genesis,19,2,20,20
Genesis,19,3,14,14
Genesis,19,4,15,15
Genesis,19,5,15,15
Genesis,19,6,7,7
Genesis,19,7,5,5
Genesis,19,8,29,29
Genesis,19,9,20,20
Genesis,19,10,12,11
Genesis,19,11,13,13
Genesis,19,12,18,18
Genesis,19,13,15,13
Genesis,19,14,22,22
Genesis,19,15,19,19
Genesis,19,16,16,16
Genesis,19,17,19,19
Genesis,19,18,6,6
Genesis,19,19,23,23
Genesis,19,20,17,17
Genesis,19,21,14,14
Genesis,19,22,17,17
Genesis,19,23,7,7
Genesis,19,24,12,12
Genesis,19,25,13,12
Genesis,19,26,6,6
Genesis,19,27,11,11
Genesis,19,28,17,17
Genesis,19,29,22,19
Genesis,19,30,17,17
Genesis,19,31,14,14
Genesis,19,32,10,10
Genesis,19,33,15,14
Genesis,19,34,21,21
Genesis,19,35,15,15
Genesis,19,36,5,5
Genesis,19,37,11,11
Genesis,19,38,14,14
Genesis,20,1,12,12
Genesis,20,2,14,14
Genesis,20,3,17,17
Genesis,20,4,10,10
Genesis,20,5,18,18
Genesis,20,6,24,24
Genesis,20,7,21,21
Genesis,20,8,15,15
Genesis,20,9,24,24
Genesis,20,10,11,11
Genesis,20,11,14,14
Genesis,20,12,13,12
Genesis,20,13,24,24
Genesis,20,14,13,13
Genesis,20,15,8,8
Genesis,20,16,18,18
Genesis,20,17,12,12
Genesis,20,18,14,14
Genesis,21,1,11,11
Genesis,21,2,11,11
Genesis,21,3,12,12
Genesis,21,4,12,12
Genesis,21,5,9,9
Genesis,21,6,10,10
Genesis,21,7,11,11
Genesis,21,8,11,11
Genesis,21,9,10,10
Genesis,21,10,17,16
Genesis,21,11,8,8
Genesis,21,12,23,23
Genesis,21,13,9,9
Genesis,21,14,21,21
Genesis,21,15,10,10
Genesis,21,16,19,19
Genesis,21,17,28,27
Genesis,21,18,12,11
